,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0
Mon,839,1487,1547,1907,2210,2049,1748,2299,3242,3469,3822,4388,2865,1449,813,204,35,67,60,4,0,1,66,109
Tue,820,1497,2295,3268,3664,3488,2868,2744,4039,3695,4674,4300,2681,1430,626,139,71,31,17,5,1,24,132,188
Wed,739,1559,2697,3278,3662,3311,3018,2887,3409,3792,4385,4093,2534,1515,514,117,69,29,2,0,20,36,155,153
Thu,883,1728,2623,3765,3868,3381,3097,2792,3821,3772,4431,4375,2494,1310,658,159,62,57,19,3,4,28,84,133
Fri,719,1670,2273,3117,3270,3523,3054,2744,3254,3639,3962,4342,2429,1529,891,154,67,21,1,2,3,20,100,80
Sat,695,1525,2623,3278,3818,3248,2955,2667,3551,3655,4943,4924,3230,1882,809,244,136,54,7,7,1,13,120,138
Sun,1120,1632,2203,2952,3020,3193,3096,3312,4474,4972,6363,5754,3456,2431,1323,207,143,118,44,6,13,26,68,234
